1,0,Piano 1
1,8,Piano 1w
1,16,European Pf
1,24,Piano + Str.
1,126,Piano 2
1,127,Acou Piano1
2,0,Piano 2
2,8,Piano 2w
2,16,Dance Piano
2,126,Piano 2
2,127,Acou Piano2
3,0,Piano 3
3,1,EG+Rhodes 1
3,2,EG+Rhodes 2
3,8,Piano 3w
3,126,Piano 2
3,127,Acou Piano3
4,0,Honky-tonk
4,8,Honky-tonk 2
4,126,Honky-tonk
4,127,Elec Piano1
5,0,E.Piano 1
5,8,St.Soft EP
5,9,Cho. E.Piano
5,10,SilentRhodes
5,16,FM+SA EP
5,17,Dist E.Piano
5,24,Wurly
5,25,Hard Rhodes
5,26,MellowRhodes
5,126,Piano 1
5,127,Elec Piano2
6,0,E.Piano 2
6,8,Detuned EP 2
6,16,St.FM EP
6,24,Hard FM EP
6,126,Piano 2
6,127,Elec Piano3
7,0,Harpsichord
7,1,Harpsichord2
7,8,Coupled Hps.
7,16,Harpsi.w
7,24,Harpsi.o
7,32,Synth Harpsi
7,126,Piano 2
7,127,Elec Piano4
8,0,Clav.
8,8,Comp Clav.
8,16,Reso Clav.
8,24,Clav.o
8,32,Analog Clav.
8,33,JP8 Clav. 1
8,35,JP8 Clav. 2
8,126,E.Piano 1
8,127,Honkytonk
9,0,Celesta
9,1,Pop Celesta
9,126,Detuned EP1
9,127,Elec Org 1
10,0,Glockenspiel
10,126,E.Piano 2
10,127,Elec Org 2
11,0,Music Box
11,126,Steel Gt.
11,127,Elec Org 3
12,0,Vibraphone
12,1,Pop Vibe.
12,8,Vibraphone w
12,9,Vibraphones
12,126,Steel Gt.
12,127,Elec Org 4
13,0,Marimba
13,8,Marimba w
13,16,Barafon
13,17,Barafon 2
13,24,Log drum
13,126,12-str.Gt
13,127,Pipe Org 1
14,0,Xylophone
14,126,Funk Gt.
14,127,Pipe Org 2
15,0,Tubular-bell
15,8,Church Bell
15,9,Carillon
15,126,Muted Gt.
15,127,Pipe Org 3
16,0,Santur
16,1,Santur 2
16,8,Cimbalom
16,16,Zither 1
16,17,Zither 2
16,24,Dulcimer
16,126,Slap Bass 1
16,127,Accordion
17,0,Organ 1
17,1,Organ 101
17,8,Trem. Organ
17,9,Organ o
17,16,60's Organ 1
17,17,60's Organ 2
17,18,60's Organ 3
17,19,Farf Organ
17,24,Cheese Organ
17,25,D-50 Organ
17,26,JUNO Organ
17,27,Hybrid Organ
17,28,VS Organ
17,29,Digi Church
17,32,70's E.Organ
17,33,Even Bar
17,40,Organ Bass
17,48,5th Organ
17,126,Slap Bass 1
17,127,Harpsi 1
18,0,Organ 2
18,1,Jazz Organ
18,2,E.Organ 16+2
18,8,Chorus Or.2
18,9,Octave Organ
18,32,Perc. Organ
18,126,Slap Bass 1
18,127,Harpsi 2
19,0,Organ 3
19,8,Rotary Org.
19,16,Rotary Org.S
19,17,Rock Organ 1
19,18,Rock Organ 2
19,24,Rotary Org.F
19,126,Slap Bass 1
19,127,Harpsi 3
20,0,Church Org.1
20,8,Church Org.2
20,16,Church Org.3
20,24,Organ Flute
20,32,Trem.Flute
20,33,Theater Org.
20,126,Slap Bass 2
20,127,Clavi 1
21,0,Reed Organ
21,8,Wind Organ
21,126,Slap Bass 2
